序号,标题,网址,是否违规,违规词
22,陕西师范大学化学化工学院,http://www.baidu.com/link?url=f4_8g8HCEi9DNUow9aVGKdJ0wHut870WtslNHT_PKFZKR6wgvEJmf5vLypHhsnIi,违规,陕西
23,陕师大-科学技术处,http://www.baidu.com/link?url=Ba-q1Z6ssDkx4GfXwURKen0m0Mwvg75aLSuPNMzpV5i-PBpfZfw3F51SgsW1F4r-,不违规,
24,陕西师范大学教职工之家 陕师大工会 陕西师大工会 陕西师范大学...,http://www.baidu.com/link?url=IYO-1qujugU06KbZCnESEJAk8qiL-va0BcU5nC2Rclu,违规,陕西
25,陕西师范大学计算机科学学院,http://www.baidu.com/link?url=aFxrtbiNEuzw56ZcFJe2KxJYjd7eKLIdtzWl1slnGV3ohwtA2nLLGBVa5e_xljDP,违规,陕西
26,民族教育学院,http://www.baidu.com/link?url=z_RGpX006XIDSADsuuiNB1ICZ4k7Df4oVG8_gaOmLzb6tXAt29DgQG4dPgwMNJhj,不违规,
27,陕西师范大学西北国土资源研究中心,http://www.baidu.com/link?url=PRri91PvaMszTo79HklEebvm9NHBBHq56KwKISuJShBAiQagbhTBJ7LcHIKIc0WT,违规,陕西
28,陕西师范大学教师专业能力发展中心.,http://www.baidu.com/link?url=xm8atah7CvTUP_cqpdsW8gr4Um_IdZJ9zGoZlbK3Z0Cl_aKtWpjYMC598fl0oV8v,违规,陕西
29,应用表面与胶体化学教育部重点实验室,http://www.baidu.com/link?url=EQ-qMLDtZ7VM6thuFu4Rw5heklcZQ-bOe-eJp_reLoa2561kwAI3D07rR8gzTQQb,不违规,
30,应用表面与胶体化学教育部重点实验室,http://www.baidu.com/link?url=vqHyhi5WL3LyV0InffC5y1tcyBeaxRckIsbMCpQx28SFAY0Li9sCbiH91ITMXyqt,不违规,
31,陕西师范大学食品学院,http://www.baidu.com/link?url=0dIvRsnOP17QQ0eVXAIuTxGNL59FNry75dAZMZjAsaCTyWcNngY4TWlvTvzPcnlP,违规,陕西
32,Shaanxi Normal University,http://www.baidu.com/link?url=dbyNhMQK9_Bdn2SNYWx1UlrJPdeW-rE3FJxUHfJ8GGBmGw7c5F0fiM4r-OMhQfBH,不违规,
33,国际交流与合作处(港澳台办公室),http://www.baidu.com/link?url=P8BtnsFbs1jo92uJxHFb8PzxO1lPjpjNGCIGFcBCWNTnkjiLd1s2iETfjy3U7_sc,不违规,
34,后勤管理处网站,http://www.baidu.com/link?url=5On3d9BplOnuPTFBc8oVbjIHM0p4o4gjyxj3qEPuIcTEOvq5-y6_qM6o3Au_YvoJ,不违规,
35,党委组织部(党校),http://www.baidu.com/link?url=wSRKBZ2fqAJMJSwkGkCzrdrCDN7NGO1XvfmbKETvzAAq0I8egSt3pkUCsXU4iP3I,不违规,
36,陕西师范大学 现代教学技术教育部重点实验室,http://www.baidu.com/link?url=sc_8i55ougfiQcLbfdXAO6Gn2-9xrXZ0wU5hBMW5xfK4nyeCfI6QplNUk8tzqKjT,违规,陕西
37,陕西师范大学中国西部边疆研究院,http://www.baidu.com/link?url=LlPqXVqMdmI1K9grVI5LhhkfoyYvoI5E_GzSJGNKozn4Oopg9MIEZWxuCw9R-Gp4,违规,陕西
38,陕西师范大学 社区居委会,http://www.baidu.com/link?url=l-VCTlbiBYiWrDJ_96_qAiD0zbe8dxbnDgtwgOCWPWqNp5luNsFxmRBsmHs7azFZ,违规,陕西
39,党委学工部(学生处),http://www.baidu.com/link?url=I8XRZAZbTA0OhD9qT8sT2_r91JcWU2t63C1hhUeeosbT9WqBHgPzOUJjepYDTQ7r,不违规,
40,陕西师范大学国际商学院网站-主页-技术支持:新势力网络,http://www.baidu.com/link?url=FANvOgp0vVBPLuZPC_mX_ffzLcsj9WM7rLJq-xgUF8sIOFnWWYXIgqMZXvd0fOsZ,违规,陕西
41,陕西师范大学党委宣传部,http://www.baidu.com/link?url=vKvzmyrmBZEg9wZxoCjLyA4yKsp2y2ZKeXH7ud_zUY1aozSJm7piKHxvZKQUK-ud,违规,陕西
42,陕西师范大学学科建设处,http://www.baidu.com/link?url=l4Fogb8zuLAqaHGjPiKYapgRfIwZJcG-AbmucnkAJSkRWeuAz7ZsmLsWl73sDENz,违规,陕西
