序号,标题,网址,是否违规,违规词
90,内部控制办公室,http://www.baidu.com/link?url=lUCDDjD2kRAoIPAFsnoCrqfGGTHvAdzBbYaLIE9IwMuGFVBrJpihKO6dAaauO5pU,不违规,
91,访客首页 - 陕西师范大学服务门户,http://www.baidu.com/link?url=mChOVDf6JjvAe0sJJgmWHOZVQ43luKUSqllRbpaD54q,不违规,
92,物资设备采购报名系统,http://www.baidu.com/link?url=8nnONKz4bC1SuFP2sBtHjGjZV-GiO9bL9A2DDJ2dr6ivaS1GqycRQ1PpNVv1eKqf,不违规,
93,陕西师范大学研究生信息管理系统--登录窗口,http://www.baidu.com/link?url=MZgUIMRMFDzsip2SRzmlcydrnAR9xtXxPlQWDL2YWoc2jmD5eBDHYomOFwDj8w2n,不违规,
94,学术委员会,http://www.baidu.com/link?url=xodx1bWb0smMM_oTT9BFxbXwmvHV-ifN-_7V8KCjU7CS5AX2ukjGr2hgOJEz54qA,不违规,
95,扶贫开发工作网,http://www.baidu.com/link?url=0pW5s4xwtGGWFgH-b_1mrLf9H_UAYircFAPLq4--xRD-H7IuckNQfQB9EBEjTSBX,不违规,
96,陕西师范大学采购网站,http://www.baidu.com/link?url=pqj0lALAZch1ayzmeNpBRnLA5TpAABRXb02AYs3VYKHjCgMSUT63vraDkn-eL7cz,不违规,
97,陕西师范大学校园统一支付平台,http://www.baidu.com/link?url=2pxlNnaoQYaeGrNTv_ynPJpwVMQVsGztp7k-MFFwPmWwjdZbEDntDllkwbGLXbgq,不违规,
98,陕西师范大学西夏文字与文献研究中心,http://www.baidu.com/link?url=UXcgOfXLx8CAtwWBMSjzMiRcShA_9FgJ55gc1dxjaZYY5qJ5AZ2RSUzM_CyYuyT8,不违规,
99,中国古代文学博士研究生培养模式的探索与实践,http://www.baidu.com/link?url=t74k52vFZou87L7Ueh5y_s9zE9Dx_VGRmAgfOE9eryuWOJRgIPPtvdPV3UFh1G7y,不违规,
1,陕西师范大学图书馆,http://www.baidu.com/link?url=7Raf2GiA4eJeC2P_3byZFuzcmuPHwhJHFmsBPN5ikH_gN_GVoS0Zv7PlbBkN_WE5,不违规,
2,社会科学处,http://www.baidu.com/link?url=a4XNmivDerS4Q_2YCcP_sMKIKFlIIEQBJqgs4frCglETvFR5sHDLY9dELKmdzW4d,不违规,
3,陕西师范大学,http://www.baidu.com/link?url=8RbCsoaE_W6yEUaq0C1_vq06uPA6eIWjPGlCKkOR0ket1dkl0zhFMLpgp0ZUzNYz,不违规,
4,教师教育办公室,http://www.baidu.com/link?url=52sQqnJOGxKR3oMhYydN-Qo97sDsDGY3_FpAAccMnIwXjojoF9TMAbn3l6GElCW6,不违规,
5,河山网 || 陕西师范大学西北历史环境与经济社会发展研究院,http://www.baidu.com/link?url=kBGL-nytlmEAE_OsSvpzXFIK6bAgKXeIoEzXHfp21ldEI0M9sLXCLrNFam5ZuQ1G,不违规,
6,陕西师范大学材料科学与工程学院,http://www.baidu.com/link?url=VK1VosWQW4OtMvqCd_OeDJRT8ZPQHbg_Ovd6C9A6N6E9_ij8jmBRMBVIQ5xYJSRs,不违规,
7,陕西师范大学国际汉学院,http://www.baidu.com/link?url=XT4HJQZAK4bDB6N7QoQjJZBnSmWr5dxKoPVtyJVMC4FVDdhnbvqkEF2eO0_thVTS,不违规,
8,本科生教育网,http://www.baidu.com/link?url=H3jlDvsv4oewLCbO2TAb-_BptbqDrkpsD9nSUcGRJx1URsK618-nNxLgOQXOLMqI,不违规,
9,陕西师范大学国有资产管理处(物资设备招标采购管理办公室),http://www.baidu.com/link?url=7ZPfqdZUJkbPaU0qirPI8LMEGwTDfDo6eBpkj37Xr4mcaTInmEqZsoDS42oRYV7I,不违规,
10,陕师大校友会,http://www.baidu.com/link?url=IFUWzu3-WNmirMrTtD8F_k7VPtEsoguAkmVuqgBas3BZsqrpCCCRqJ5ngCRwWKCP,不违规,
11,人事处,http://www.baidu.com/link?url=3dh-xb4naqd0Bbow7x56ItIrresmHD5mE6XDNxLWEdXxFHMi4scne9eaIihOqvfw,不违规,
12,中国教育后勤协会信息化建设专业委员会,http://www.baidu.com/link?url=EkzLEIVIC1TmbAI0Mtp84PuDW8EdYjF4KBBIN59E9wreGoZrVirzgibNt27kWFEH,不违规,
13,地理科学与旅游学院,http://www.baidu.com/link?url=xKbS-fFz6dRj52QuIBusq9VEJ7jPPhvt4DTX2wRYje1HtjFT4_62WIRvwbPiDUj7,不违规,
14,数学与信息科学学院,http://www.baidu.com/link?url=8l_cUDZPh3X9m2L9siI5s0zdkOxUFVJoMPqWnY8yOQgGOD5NsvPnPRy0q7SOO6k7,不违规,
15,陕西师范大学物理学与信息技术学院-首页,http://www.baidu.com/link?url=Y5UWIG5NUSmFtQrVKDviduR62-_MarSlrocOe-ZKt6OENKguR2pqFu9BKmZQc07b,不违规,
16,陕西师范大学美术学院 师大美术学院-网站制作技术支持:新势力网络,http://www.baidu.com/link?url=0EoG_PDwZzc4np1cdLJvit3BvL580LCEicChBWF1QWxbg75rlJtnt6loqpsQ2qFj,不违规,
17,欢迎光临陕西师范大学历史文化学院官网,http://www.baidu.com/link?url=_3DUoLkmK_6mFd9HsCSFPjnQB4R-qXPUEabRYBiwPj6Y0tfewcJx0GNJkUUlzZEr,不违规,
18,陕西师范大学附属小学,http://www.baidu.com/link?url=U5Xx1ZbYcOSIZ-NvQPsfWNZSL1rRbzgZ8qL_lJCt6Pm,不违规,
19,陕西师范大学发展规划处网站,http://www.baidu.com/link?url=U1dGX8EwHRVb9uAQ7ewwOMSIqMJe-RvmgwQrUNOk0prYjCoUKzfyfHZidvPzxgR5,不违规,
20,陕西师范大学附属小学,http://www.baidu.com/link?url=WjRpSw0JG6njIv32QklYQAd09l-aP-3tBAY0JVxkc6q,不违规,
21,陕西师范大学电子离校网站,http://www.baidu.com/link?url=9SLNiQy7kdzzSYtd9e28YxYuT3XI4_S5268RywVp-R73GMU1IDEJjTdFk01uBSiz,不违规,
22,陕西师范大学化学化工学院,http://www.baidu.com/link?url=TbCTbKvBCMHMyH7y5vIlTR8JhjQwfWMoFeC1B09-ahCFGeoyz8Dkjb4oopBonBBx,不违规,
23,陕师大-科学技术处,http://www.baidu.com/link?url=DZMfuI1RCWZqOgavBeSUereJGlnRF2lSEwbI8G8k539C5IPUQVfPW1sJLAZbTIOr,不违规,
24,陕西师范大学教职工之家 陕师大工会 陕西师大工会 陕西师范大学...,http://www.baidu.com/link?url=4UbDOtAhW19Cd9nmiczX5-a2qtYnRvizKHKXKDh2Ni_,不违规,
25,陕西师范大学计算机科学学院,http://www.baidu.com/link?url=soooVNr_GlW6QqarohUZdPWUROpP-3ePKjgoIZPl1Muvj8IdNh2B4n-MJVLg8FhU,不违规,
26,民族教育学院,http://www.baidu.com/link?url=qoPtO2PJ7D9xP5OT3GA2pa6hoBglcHAlpjVC0ztNpxb5DYiS6yNKCZeW3SoO79Rs,不违规,
27,陕西师范大学西北国土资源研究中心,http://www.baidu.com/link?url=9-IBJSxr51iiPSVmTHWMsX3RR83MIRu1wYdr8JPC0bgx6hMu329OvVPJMIgC4Nd6,不违规,
28,陕西师范大学教师专业能力发展中心.,http://www.baidu.com/link?url=01fTiqNG7KkGa4tu0kwZ08wdxdqAFOQJbBiaeAlmB93nvi59xy2a5_YqCK6uSJ9y,不违规,
29,应用表面与胶体化学教育部重点实验室,http://www.baidu.com/link?url=af0dZyk1xp3fspE1W2WrwAIZdFVVotHVlkwDM3BtZ8tz-6D4ocGCFJCMDCXkD3Fj,不违规,
30,应用表面与胶体化学教育部重点实验室,http://www.baidu.com/link?url=UJCdegSyb0mUQbIPKVuxFnRLwnsgI8tfBaZAUqjxLlH3Dlnj1MGUYS3HGvSl6F5u,不违规,
31,陕西师范大学食品学院,http://www.baidu.com/link?url=1fvbwgFKvaN1Oztd_d8eIZKx_k_QJoOVBjf3RcSMJY4pP_aegEpHCelmHn-S1f9g,不违规,
32,Shaanxi Normal University,http://www.baidu.com/link?url=ZbGDY8F0WJSpxC-i5itlxLbAiEx3XRHqhmGUYmPZusIUdUNcvG9lR3qVGRiJDyeo,不违规,
33,国际交流与合作处(港澳台办公室),http://www.baidu.com/link?url=R60EG1I2pSKi9hNsrcFlBbqrrv1lNKoovaiYheJz-Zxj4s_IeI2Lr-MZPL1Ll8HO,不违规,
34,后勤管理处网站,http://www.baidu.com/link?url=vIdu2Dmql-hj2faN9oquEWFzhl_7BLnoLi4Sa0mOuWx-O0SMqF5c36yEkHnaj901,不违规,
35,党委组织部(党校),http://www.baidu.com/link?url=rEB58Ud8YFDx45E_6-RpuDzLUD0KfD1LicTkYyQGuiwGyeJfv0TZ0hu6eks2LXRS,不违规,
36,陕西师范大学 现代教学技术教育部重点实验室,http://www.baidu.com/link?url=kWFqodZ5e1p-U8Haqhktic7jLRY0ulisSNvsxtlTpeLGpPfWCxSrZyT7nzwO57kf,不违规,
37,陕西师范大学中国西部边疆研究院,http://www.baidu.com/link?url=KnphQeHjm4fFhOvTv56EBcTFyoRd1NoRMPx5Q-FCcLDF_9Ttt33B7tCBJ2BIBfhb,不违规,
38,陕西师范大学 社区居委会,http://www.baidu.com/link?url=Z1Xg6M4JVpj50XSVXFtaN94ZoFgDzAfXMpukFoxhqubfEIlnZtgPqif_OVP7zGPk,不违规,
39,党委学工部(学生处),http://www.baidu.com/link?url=Zirb51l6ubhER6vfQKaxrmUFiUHL3QwR9fyckgp3NiYgEnS-RRdjRufBD8fPpxjI,不违规,
40,陕西师范大学国际商学院网站-主页-技术支持:新势力网络,http://www.baidu.com/link?url=78M475QWRyQeUnmGKLFlFYrwBuyULa_2tXrQdWFX3ImF295hg3Y9fkJ6HpyUzv-k,不违规,
41,陕西师范大学党委宣传部,http://www.baidu.com/link?url=ZetLCnyYFuesOWnxnchLfjSAfVYmP2K8k0P1g3GvvootiUwX6xC844CMqiTa0aJg,不违规,
42,陕西师范大学学科建设处,http://www.baidu.com/link?url=o4ETN0waPcixhuXmvxpHS6Zv8A4zaG5WCfMO3NoTnxm1Uyu8ljJYAOYzItgkOhdv,不违规,
43,陕西师范大学远程教育学院官网,http://www.baidu.com/link?url=tQp7qTU7MzBqGKFlifA9uz1WqhPCG1gnMmaWbsrxoeTvBOJp6sVjVUq_crVXJJpM,不违规,
